labels,features
negative, no they could be at laguardia jfk or charlotte have no idea where they are now tho
negative, they said because there was no meal on my flight they would not what airline serves food anymore update in policy 
negative, it is the nd person when called again to ask could not catch her name rejected the request
negative, must be nice to take your customer service phone off the hook fendforyourself
negative, that link is broken but if it the online baggage locator already tried it and it gave me no useful information 
negative, spoke on the phone or times but no resolution m still waiting to get my money back but now prices are jacked up
positive, thanks for reaching out to me my gold div no j my flights were changed under confirmation dnx 
negative, stranded in philly starving and can get meal voucher even though your plane had mechanical issue next flight in hrs
negative, on hold for an hour connected to the wrong department by your automated system transferred and now another min amp counting
positive, yes and our flight attendant who is wonderful btw secured the tray table so it not flailing about g
negative, link doesn work and ve tried tracking my bag several times still doesn clarify where it is 
positive, thanks for seating me next to hot athletes this flight is significantly better now 
positive, thank you on our way to get her bag now thanks to having that number 
neutral, how do you give stand by seats to ticketed passengers who you know have connecting flight 
negative, would you guys please send service agents to gate in philly all the people missed there connections and there only 
negative,spend hour on hold with 
negative, why would flight arrive late flight or leave when of your passengers have connection 
negative, last times checked bags they were severally damaged no one answers the baggage call line for status chairmanlove
negative, this is crazy haven spoken to human yet there has to be better way 
neutral, can get assistance on flight plane just landed from hpn and have connection to atl 
negative, you got me home hours after you were supposed to was living in an airport you offered no monetary assistance 
negative, ve been trying for days and don get hung up on until after get through all the prompts what am to do 
negative, why not have an option for call back m just sitting here burning through my minutes waiting for an error to be fixed 
negative, days and hours on hold the other day charge me double for flights and can even fix it worst service ve ever had
negative, ve been trying to call you for days and every time the system is overloaded and disconnects really global company help 
negative, also we are in family crisis amp you charge full price for all these flights plus change flights even for emergencies 
negative, where my apology 
negative, thank you but it is sad that she couldn talk real person amp kept getting disconnected by an automated msg 
negative, flight today showing on time online not able to check in called amp told was cancelled flightled put on hold over an hr ago help 
negative, new tag line but we got you there alive 
negative, days in row call and still can get anyone on the phone do you actually have any employees 
neutral, announced that people going to fl via charlotte would have to go to different plane amp gate but it was direct flight logic
neutral, just realized my advantage number wasn used for my flight how do get my ff miles 
negative, does your company see passengers as customers or just 
negative, is there way to have someone contact me when you have an agent available need help flight booking problems an award flight 
negative, flight is delayed hours no reason given sure love flying with your airline whatajoke
negative, so we got her home now we just need her bag is there direct desk number for savannah 
negative, hope so last spoke to the baggage team they weren sure what city my bag was in 
positive, thank you busy times 
negative, my flight was delayed and rerouted and not so much as sorry for your inconvenience from the check in agent notimpressed
negative, min delay thanks to maintenance issues thanks for wasting day 
negative, not one to complain much but really hour minutes and still nothing agents or agent sb davuy
positive, thanks 
negative, thanks for crappy hotel with no food and taxi bill followed by being on standby for your cancelled flightlation usairways
neutral, through can you confirm that haven been charged 
negative, hey booked flight isabelle gramp boston to lax and it said that it charged my credit card but the transaction didn go
positive, you are amazing follow me back please 
negative, ve been on hold with your divident miles service desk for minutes and that after being hung up on the first time 
negative, is useless airways day trying to get home on standby as result of their cancelled flightlation usairways
negative, this is how vacations get cancelled flightled been on hold for minutes still havent talked to anyone failure hishb
negative, for response in days no thanks
negative, will never travel with you again this is insanity storms are inevitable but making us hold to just add lap child badservice
negative, any word on flight getting out of dfw in the near future stuck on plane at gate for over an hour
positive, thanks so much 
neutral, recently moved and got new license and when booked my flight months ago used my old license do need to change that 
neutral, no this is systemic problem mail comes from but usairways spf record disallows it dm me for more detail
negative, little help to us my husband has been on hold for an hour for something that take minutes to complete 
neutral, recently moved and got new license and when booked my flight months ago used my old license do need to change that 
negative, we might need plane to get somewhere but just remember that you aren the only choice makeovertime customerserviceplease
negative, still can get through and travel in days ridiculous donthavehighhopes
negative, has an spf record error that is causing mail from noreply com to go to spam filters dns admin needs to fix 
positive, you are the best follow me please 
negative, so the seat next to me on flight to seattle has tray table that is falling off lkqjw 
negative, nd time this occurred in weeks m not patient have no choice antitrust issue
negative, my vacation budget was blown bc of the lack of communication from usairways will never use them again or refer anyone 
negative, credit to my bank account for the two days of work that ve missed because of these cancelled flightlations 
negative, don need to rebook need to know the policy
negative, no reflight booking problems necessary can afford to deal this kind of unprofessionalism again would however like some type of credit 
neutral, what are the odds you can get me on flight with delta so can actually get to orlando today dayslate flight
negative, we re all standing here and no one is saying anything ll most likely be missing my flight to bwi again yv
neutral, how long does it take to receive ticket from for itin booked via wajk eyt on us flights 
negative, that is the most useless tweet ve ever seen out of you 
negative, this is got to be the worst service ve ever seen with an airline cancelled flightled flights rude employees currently flight delayed
negative, so you re going to make me wait that long on the phone line when you can help me that part of the problem
negative, now over hrs can wait anymore hrs for nothing now what frustrated usairways 
negative, ve called for days and can get thru is there some secret method can use that doesn result in you hanging up on me 
negative, what is policy on changing flight to different dates once your flight has been delayed 
neutral, just checked in online for tomorrow flight thought should get auto upgrade already got the email saying no seats 
neutral, last name pordes
neutral, tell reservations to rebook me from to 
negative, why aren twitter and reservations connected what do people want reservations duh 
positive, still not in the air for deicing of plane ll miss connect but customer service was helpful m hoping to catch the next flight
neutral, trying to go nashville to london and just have no idea when would be good time to fly out of nashville right now 
negative, usairways unacceptable holdtime really abxrq
negative, what do push to rebook with that number
negative, tell the flight from clt to srq to wait 
negative, they lost my bag baggage handlers broke open my bag and stole my camera
neutral, if there are empty first class seats on my flight at check in why wouldn i be automatically upgraded 
negative, grades for this trip flight timeliness cancelled flightations customer service flight attendants 
negative, thanks means lot after was verbally cussed out charged extra for bag amp then told don feel like dealing with it 
negative, stuck in cae need reflight booking problems for next flight possibly dm for more info
negative, has the most useless amp rude employees ever at philadelphia airport never again will fly with them 
positive, you all work hard at making sure things flow smoothly keeping positive 
positive, we are boarding now but have yet to depart thanks for the response 
positive, totally understand the weather just frustrated thanks 
negative, tell them to get on that please 
negative, really needed to be back home yesterday and at work at am today been on plane and sitting for an hour peeved
negative, gate agents are now working with everyone to resolve connecting flight issues which is my concern
negative, that the flight was placed on after original flight to charlotte was cancelled flightled now is on hr delay
positive, thx to gate agt john pascucci for finding us flight from clt to pvd after our original one was cancelled flightled 
negative, st reaccommodation now delayed flight for this one amp the gate agent still hasn mumbled word folks getting anxious 
positive, you are the best follow me please 
negative, please don go to the check in process uses at mco it an absolute disaster 
negative, how about phone to talk to real person 
negative, over weeks since you took our money and left us stranded hours from home had to rent car and you still have not helped us
negative, gave up edgc tbls
negative, ve been on hold for one hour and four minutes for your reservations line how can you possibly do business this way 
negative, lack of communication with other offices the customer amp yall never update ur systems guys are established this mess
negative, guys get too much and too many customers to be fucking up as badly as do
positive, provides you the best logistics experience for people all over india mumbai surat navimumbai
negative, after last night in charlotte nc m seriously debating never flying you again minute on the tarmac connection leaves 
neutral, hi could you protect me on us just in case still on ground with no checked luggage but still chance can make original
negative, great but that still does not help me 
negative, hope for no weather delays no help to reroute and your on your own for lodging non stop is the way to go
negative, why didn you reroute bos to jax via dca through clt instead forcing an overnight passengerslose
negative, appreciate the hard work still gave up after gt hour 
negative, my luggage was delayed m looking for compensation since you know you charged me for it then forgot it 
negative, stranded in cold texas and getting sick because you overbooked the flight and gave my seat away gooutofbusiness
negative, worst experience ever unable help over phone and told at last min cabin crew unavailable for flight never again usairways
negative,thanks weather disruptions have caused some of our crew to run late flight we re sorry for the delay to your flight 
negative, minute delay this is absurd feel free to provide credits kej bv 
negative, fuck you
negative, not even on your dime and free tickets worsttraveldayever
negative, disappointment making own arrangements for me amp my sleeping toddler with zero assistance from usair is maddening 
neutral, thank you
negative, thanks we did see an agent unhelpful some got vouchers others did not for unexplained reasons 
negative, mins after the scheduled departure and still sitting in terminal communication would be lovely 
negative, this day has been disaster rude employees no help amp now no hotel not flying with you again amp fly alot dallas raise now 
negative, traveling with year old would appreciate you holding up your end of good business and hosting us in our unanticipated layover 
negative, missed flight connection due to flight attendant delay yet no voucher on your part fail
negative, of course never again tho thanks for tweetin ur concern but not doin anythin to fix what happened ll choose wiser next time
negative, absolutely knew you would try to blame weather to deny us vouchers in phoenix totally false was crew issue 
negative, half an inch of snow in charlotte overwhelming
neutral, on the phone now looks like global
negative, already filed report personally at the airport however they have no idea where it is even with tracking number 
negative, already called no other options flight is being reimbursed never again you are unreliable for business travelers 
negative, your saving grace was our flight attendant dallas who was amazing wish he would transfer to delta where would see him again
negative, that link leads to website that won open on cell phone good job shocking that your airline is folding 
negative, my flight us got cancelled flightled on due to lack of flight crew was told that d be reimbursed for hotel who do contact 
negative, no need for apologies just an unfortunate situation there is no up date ve landed but was suppose to land at 
negative, minutes means no public transit home and an expensive cab promises doesn make up for it
negative, my sister was supposed to leave at am to go back to al she only getting to nc now are you kidding me neverflyusairways 
negative, she just did but really how drunk does someone have to be before you stop serving them
positive, you are the best airways follow me please 
negative, hr flight delay and delay when we land is that even real life get me off this plane wanna go home heel clicks 
negative, flt is on the ground but you don have gate for us at dca why is this happening 
positive, shout out to the red headed gate agent for flt from dca to chs at tonight didn get her name but she was great 
negative, m sick of living in an airport getittogether
negative, now the jfk baggage office has actually run out of paper hotel vouchers thislinehasntmovedforanhour
positive, dude named shaquille at the desk in charlotte was incredibly professional and helpful vs some crazy angry people tonight
negative, really gave scotch on the rocks to an out of control drunk and would not let my sister change seats when he was grouping her
positive, awesome usair tysvm lt 
positive, thank you 
positive, that would be lovely you have great people working in your organization 
negative, only the jfk baggage office is open to help re book all of us on cancelled flightled flight to dca shameful 
negative, hey let flight get to the gate hours late flight and no fate with dozens of kids on board
neutral, me too me too 
negative, flight update doesn help when we are waiting min at our arrival waiting for plane to leave our gate who can write 
positive, tyvm usair happy night lt 
positive, thanks it hectic for everyone but their actions don represent the company well imo
negative, mr husain shld protest as well when one of ur party member rehman malik delayed pia flight for hours 
negative, not good been on hold for hour day since sun to book way flt dividend miles agents send me to on hold hell furious
negative, m sure you don but question still remains why we only found out at that crew won come before for flt tks 
negative, not too impressed with your airlines but would feel lot better flying with if you upgraded me up to first class tomorrow
positive, glad to be home and that your great people got me home safely sad for others who didn get back bc of scheduling problems 
negative, how about an update hrs delayed this obviously isnt up date havent boarded lwjazioa
negative, what will be is what may be what is sucks fail
negative, your whole handling of this was joke boston logan had one little old lady one handling all the customers rfuijyp
positive, will do appreciate the response 
neutral, how long are billing cycles
negative, on hold for all because they won let me use companion voucher online 
negative, and no one has been at all helpful will never fly this airline again neveragain spreadtheword
negative, no they won because after hours of holding had to give up because couldn borrow the phone any longer hours 
negative, ve been sitting in the charlotte airport for hours waited for crew and now maintenance neveragain
negative, delayed my flight times before cancelled flighting it had angry and rude workers and are now providing no helpful service at all
negative, my daughter is stranded in charlotte because us airways cancelled flightled her flight tonight completely dissatisfied with 
positive, thanks to kevin and team at ish at phl for some great service recovery tonight appreciate it 
negative, commitment to excellence is praised can get you to the wrong city days late flight or the right one days late flight customerservice
negative, car services to and from the hotel food hotel cost bc of cancelled flightlations fall on the customer with last minute notifications
negative, m amazed at the lack of communication with the passengers 
negative, when told csr would close acct he couldn care less
negative, beware barklays bank has terrible cust service will not assist only know to go by badly written book in english 
negative, they call weather an act of god and refuse to help have my wife and kids and they have no sympathy 
negative, bad weather shouldn mean bad service
negative, stuck in charlotte being treated like nobody by staff 
negative, flights keep getting delayed and cancelled flighted with no information worst customer service ever 
negative, what does your reservation is out of sync mean on hold customer service min and want an idea what is up
negative, sits on throne of lies
negative, where my bag you called at noon promising it today would like an update like your website promises need that bag 
negative, flt tampa to clt is very late flight gonna miss conn to bos what can you do 
negative, m on the flight finally in the air not enough food to feed customers no movie or entertainment on hr flight 
neutral, just hope that pilot had good day off
positive, thanks for your help left message for dca lost and found fingers crossed we find it 
negative, is the worst airline ve ever flown on you guys have treated me like garbage today 
negative, only water on flight to dca this is the first time ve ever seen this happen executiveplatinummeansnothing iwantcoffee
neutral, eh it happens think ll survive thanks 
negative, have voucher from past trip that was delayed thought had to talk to someone on the phone to use it is that not true 
negative, did but it won help can believe you wouldn take full fare for first class and gave away to platinum member profits 
negative, hours on hold to customer service without anyone answering is more than ridiculous 
neutral, m in the cust svc line your charlotte nc agents better be in their game 
neutral, and if the flight is full 
negative, been delayed three times now finally boarded been waiting minutes now being told the plan has to be completely powered down 
negative, hours hours four hours it like this is joke to you 
negative,thanks to my trip is all screwed up ive had to move meetings and dinner and im still not out of nyc yet
negative, dont need to check status of my flight because was on the plane and you had door malfunction get it together 
negative, freaking out about the fact you are fixing the engine from charlotte to orlando longday
negative, was told there is no record of my refund can someone please help me this has been long day
negative, tried speaking to multiple people at your reservations desk after min on hold waivethefee poorcustomerservice neptune
negative, being put back on hold for what has now been an hour is completely unacceptable 
negative, stop reposting same autoresponse that was return flight home imateacher couldnt get to rsw neptune waivethefee notmyfault
negative, contd they put her on pm flite tonite think she on now worst customer service ever need to fix it 
positive, thank you glad to be heading home great people at your call center 
positive, thx replying after trying get thru many times amp mail or people hanging up on us we talked tech cont d
negative, my flight booking problems ld just times out when select it under manage my flight booking problems for months now have emailed but no response help 
positive, ha you re fun 
negative, ur service is so shitty pilot never showed up so we waited hours because another pilot was supposed to come but didn cancelled flighted
neutral, how long is that flight 
positive, flying high thanks 
negative, ticket couldnt be used bc unable to get to departing dest rsw bc of blizzard in bos told only way to use credit is fine
negative, if cant get through to reservations how can they take look hour hold times are not reasonable in any industry 
negative, hours on hold oh wait for less than minutes useless csr talked to me and put me back on hold for the last minutes 
positive, thanks it would be better from the gate agent at in charlotte boarding flight 
negative, flt clt to day supposed to depart the still no crew schedule contact the pilot 
negative, so ask for ice and the attendant snaps dont have ice on this cart not min late flightr cups of ice to the people rows ahead 
positive, thanks
negative, ve been waiting for the callback for eight hours how much longer 
negative, and half hours on hold hope it feels good to be steaming pile of shit paid far too much for you 
negative, redeemed themselves flight out at had to call and negotiate but thank the lord m heading home 
negative, total bs offered to pay for full first class airfare told sold out seats and they gave the seats to others crap
negative, been on hold with for mins wasting my time and amp don appreciate it wheresthecustomerserviceat ifnjit
negative, it was us the gate was open after about mins waiting what great way to finish an hour delayed arrival 
negative, strikes again strongly suggest you live tweet your ordeal their media team appreciates the updates 
negative, flight first hour wait for deadhead crew then deadhead crew takes overhead bin space paying customers annoyed
positive, with the weather mess in the south missed my connection in clt impressed though with the cust serv phone reps today 
negative, and really it a middle initial versus middle name all else the same not spending my time on your computer issues 
negative, very disappointed wasn allowed to change seats after checking in early online for flight tomorrow morning 
negative, they re all reservations numbers and none are in hungary and my phone not working here you make it too difficult 
negative, weeks to refund this ticket totally unacceptable fix this or ll put it on blast on social media and tv
negative, yes can pay out of pocket that us not helping me for loosing my first class ticket to coach want resolution or comp
positive, frustrating days no flights home changed airlines thank you phl usairway employees amp for help getting me back to iah 
neutral, theres only one flt phl crw per day 
negative, your staff members are looking at me like have two heads check your own websites hh tie
neutral, will be traveling from lax to clt to hts have been rebooked for tomorrow due to the travel advisory 
negative, this flight was for my brother he has been rebooked and was able to give my info over the phone to get him pass to the club 
positive, flight thanks 
negative, flight delayed for hours for deadhead crew lets make paying customers wait that is great service usairways
negative, if ur going charge for wi fi make sure it works brutal dialup a by the time things load theend goodday
negative, is anyone working today anyone want to pick up phone 
negative, ve been on hold for over minutes there a lack of quality service here nobody cares that hate your shitty airline 
negative, stranded phoenix broken foot both my flights d sunday for sickcrew cancelled flighted my mechanics flight today 
positive, you are the best airways follow me back please 
negative, it the rude and arrogant gate personnel uncalled for unprofessional theworst
negative, wont waive fees for flight cancelled flightlation due to neptune to use credit fee couldnt reach destination notmyfault
positive, thank you and thanks for being so accommodating 
positive, you are amazing you are the best follow me please 
negative, feeling helpless at tanpa airport how can talk to someone flight delayed times need help missed connections will be prob
negative, won waive fee due to neptune can use credit o paying fee couldnt get to destination to use their tic waivethefee
negative, no wonder you are the lowest rated airline in america shameful usairways
negative, how are you even still in business have been trying to call for hours this is pathetic 
positive, thanks 
negative, wow this airline is joke absolutely horrendous customer service you guys should be ashamed 
negative, flight cancelled flighted because of neptune could not get to my destination notmyfault waive fee ripoff poorcustomerservice
positive, you are the best airways follow me please 
negative, if you can waive fee at time of cancelled flightation you can waive it at future date usairways ripoff poorcustomerservice
negative, flight sitting at jfk with delays for hrs no employees to load bags terrible
negative, have been rebooked but it has been handled very unprofessionally cancelled flightations happen but the disorganization is uncalled for 
neutral, conf number fmjtyl delayed any chance of getting an earlier flight fll to phx 
negative, have now called times in the last three days that unacceptable m willing to wait on hold but that not an option 
positive, you are amazing you are the best follow me please and follow you back 
negative, ve been on hold for over hours need to re book flight please help 
negative, it was º and some of us had left coats in our luggage in anticipation of cramped overhead bins 
negative, m traveling around the world until the end of the year numbers do me no good 
negative, don know ve tried to call for confirmation but calls aren going thru can you let me know 
negative, can get free wifi since the flight was cancelled flightled 
negative, was rebooked but sucked big time crappy layover customer service very sub par 
positive, sending thanks to employee freddie in phl admiral club east for allowing me to give day pass to my sibling stuck there today 
negative, have done that sadly no flight from clt has gotten to ind today and we head back to tampa tmrw 
negative, holding min and listening to your shitty ads on repeat for your credit make me hate your airline even more is better
negative, would be on my way but wether has delayed yet again love the charlotte ice storm good luck with mad customers
negative, please staff your flights approproately our entire flight is delayed because fa isnt here shouldnt have left delta 
negative, tooooo many cancelled flightations my chain of command hates me now
negative, you cancelled flightled both my flights and refused to give voucher despite no flights for days neveragain
negative, just think if am staying your airline amp rescheduling flight shouldn absorb fee that is the cost of my flight
positive, that why guys are my choice 
positive, thanks 
negative, m cool with weather delays etc but lying and deceiving passengers to keep them from changing is reprehensible yousuck
negative, just want to get home before wednesday joke is over hrs of cancelled flightlations and delays is enough 
positive, how about drink voucher for the next flight winkwink
positive, nice touch with using my first name very intimate ll be filing claim soon to be reimbursed have us airways day 
negative, the airline is embarrassing itself get that bad weather isn your fault but your response to it couldn have been worse 
negative, any updates on flight from orf to phl no one at gate 
negative, yes works in firefox can do everything but finish purchase button turns gray never submits for couple weeks now 
negative, hours late flightr and the flight has been cancelled flightled you gotta work on your internal communication skills 
negative, had horrible experience flying from montego bay to philadelphia on check golf bag constant selling in flight
negative, told no gates open at ord needed to wait mins still waiting after about mins 
negative, and it with no sign of boarding can please get another update 
negative, still can get real person on the phone to book flight ready to just go with jetblue since they care usairwayssucks
positive, after missing my flight and reflight booking problems i just walked onto another flight and my phone was still on the seat 
negative, great job communicating to the passengers flight doesn exist anymore 
positive, thanks travis at phl east checkin for knowing baggage policies skis amp boots count as teach your mgr who didn know
negative, thx for responding when bags came there was mad rush towards end of jetway why not just put thru baggage claim 
negative, we are on us aa flight we arrived at dca at waiting on our gate for apx an hr now no update 
negative, have an agent with reservations contact me instead of asking me to waste my time by sitting on the phone for hours
negative, if you believe in keeping your customers happy especially after mistake was made on your part 
neutral, would love to combine aa and usair accts unfortunately one has my middle name amp one has middle initial won allow change
negative, had rep min in who said she couldn help so transferred me to dividend miles customer service
positive, right on up up amp away 
negative, your customer service stinks trying to book flight for hours now and keep getting hung up on usairwayssucks
neutral, please please please let my plane back to the gate so can get off as will miss connection due to clt closing 
negative, we ve flight been sitting on the tarmac of dca for while now waiting on gate can we just use another gate 
negative, hope flight is not being delayed because flight attendant didn come to work nobackup
negative, you made us miss our flight first class now can even enter the admirals club not happy dm me to fix this 
negative, can you please dm me my flight has been delayed going into clt which will force me to miss my connection to lga at pm
negative, on hold for hours you know what just keep my money
negative, charging change flight is rip off the reason have is out of my hands amp want reschedule same flight but in july
negative, flight is not leaving at because we haven even begun to board yet please update your website asap
negative, and another sent him to the wrong line oh and the kiosks weren working thanks
negative, also your employees were less then helpful when was checking his bag two just left their desks completely 
negative, the phone number the gate gave me doesn work either what is your customer service phone number 
neutral, done
negative, your site clearly explains we are allowed carry on this was allowed at pit but not bos how does that make sense 
negative, never in my life have dealt with such poor customer service irresponsible staff and lack of care lga iah day baggage in nc 
negative, thks tip seems like workaround rather than customer friendly solution they should have an easily accessible email 
neutral, unfortunately not think watched it take off from the bus rebooked for late flightr flight now planestrainsandautomobiles
neutral, was supposed to be on flight from charlotte to rdu pm yesterday is the same flight scheduled for departure tonight 
positive, thank you so much its been very stressful day
negative, me too in the future have better harsh weather preparedness plan so much of your staff called out that everything snowballed
negative, if could wanted to call wouldn use the internet to make reservation site won work on chrome on several computers 
neutral, darn it first in line for no upgrade wish understood the policy 
negative, waiting for my luggage on flight is there delay 
negative, will you please update your website with the most current flight status and update your customer service phone on thx
negative, flight booking problems flight using credit from previously cancelled flightled flight can get thru on the phone and can book online help please 
positive, absolutely the staff was amazing 
negative, you are horrendous pull your shit together
positive, haha that will indeed be great day 
negative, want my money back now we re sitting on the runway after hour delay waiting for the baggage to begin loading 
negative, how is your gate agent gonna tell me my flight is on time when its minutes past departure time and the previous flights plane 
negative, this is the aforementioned pilot sure you want to merge with these patron hitting hoodlums cefa pl
neutral, my flight was but left my phone on the plane or the shuttle 
positive, thank you tried that and they said they didn have it anywhere else to try 
negative, best could do might get my refund within billing cycles months of guys asking for another chance m done
negative, and days of cancelled flightations have driven to airports in different states spent more on gas than my flight 
negative, then why did my whole team be able to put there carry ons under the plane
positive, customer service at its finest
negative, no speciifc email character limit for complaints is aa us customer complaints adopting the twitter model 
neutral, please hold can see it just can get off my first plane quick enough
negative, please hogs my next flight for me m waiting on bus to get me off one plane so can run to the other it leaves in two min 
positive, fabulous thank you so much looking forward to taking to the skies with you 
negative, we rebooked got conflicting info abt baggage no extra plane batteries on hand no comped admirals club for hr wait 
negative, don tell me that tell me what can actually do to reach someone don mind being put on hold but it won even do that 
negative, no missed the funeral so had to take train back to newark
neutral, what is the baggage allowance on flights from glasgow to the us thanks
negative, what joke of company today reminded me why never book with you
positive, had exceptional service on flight from ind to phx 
negative, it be nice to take flight and have some level of consistency service from the flight attendants quality control 
negative, travelling from pwm to atl on sunday that flight got cancelled flightled and my new flight is cancelled flightled and got disconnected when reflight booking problems
negative, believe you but in all seriousness what an acceptable time should have this expense on my name that wasn my fault 
negative, cust serv reps who are unable to change reservations in your system check in unaware of cancelled flights that got word on night before
neutral, is there any way that you could hold flight in clt my husband is stuck in the security check line flight scheduled for pm
negative, issues are not with people who nice or storm emails with wrong phone numbers auto rebooked flights to non connecting cities
negative, missing my reservations due to cancelled flightled flight make it right by giving me first class tomorrow make your customers happy 
negative, it not consolation because my bags are somewhere else which is real impediment to me going on different vacation
negative, any tips on getting hotel that your airline won get for any of us even though we were told that we make our flight 
neutral, left my son duke hat on flight last night it says mason on the back any way of locating it thanks in advance 
neutral, will my known traveler no transfer over from when check in at as an aa elite can get choice seats 
negative, booked flight yesterday but didnt receive an email confirmation and my dividends number isn registering please help 
positive, crew keeping safety top of mind in clt yosjhzmc
negative, amp there are seats together they just have fees seems if m taking am flight the least you can do is wave the 
neutral, im researching flight amp noticed small issue class of service between your site amp other sites could reservations help me 
negative, need someone from management to contact me was flying to funeral won make it now to add to my pain they want me pay
negative, just contaced eyewitness news about the ripoff the cancelled flighted now they want me to pay
neutral, how can change without penalty and not have to call customer service
negative, when call it says all are too busy and to call back late flightr this is terrible customer service what will you do about it 
negative, they charged me for flight they cancelled flightled unbelievable and unheard of
negative, was completely ripped of by us airways today never fly this airline am contacting my local news
negative, can believe that you would refer me to number no one seems to be getting through really need help asap 
negative, hundreds of people in line and less than half the desks being manned at clt help 
negative, why is there no contact email for customer complaints 
negative, now am probably going to miss my connection in charlotte so will have to drive home for the funeral 
negative, flight from jfk to charlotte then from charlotte to birmingham previous flights to hsv were cancelled flightled 
negative, still crickets from customer service 
neutral, flight fro orf to phl 
negative, that is not an excuse to have such poor website flight booking problems options my yearly vacation is about to fall through ubetter do smth 
negative, the phone line disconnects how can be in the queue to be answered when the phone line simply disconnects when call 
negative, want to bump up my seet to first class for two cancelled flightlations in hrs what joke
negative, to arrive the plane m sitting on needs to take off wish someone would tell us what the holdup is
negative, this is dating back to nov have been sent back and forth between you and it a disgrace 
positive, will do hoping for voucher for future flight optimistic
negative, didn even leave the airport and you sent of my bags to philadelphia 
negative, thanks for the info but have been trying for over hrs and no luck flight dep today need change tomorrow or thursday
negative, tried twice today on hold for min each time have things to do so can live on hold dealing your customer serv failures
negative, no warm weather hubs means no mexico for us and can go anywhere else since you lost my bags hope you attempt to rectify
negative, no kidding oy 
positive, thanks
negative, thank you for blowing my vacation couldn get me anywhere today to make my reservation and also lost bags of mine 
negative, been trying to talk with dividend miles rep for days now have been holding for over hours each day what are my options 
negative, and it still says it on time on your website btw
negative, your customer service is horrible
negative, expect something more than telling me to see an agent to rebook my flight 
negative, you have the ability to switch my flight to but you cannot tell me where my bags are 
negative, did and it been disaster you had me sitting on the runway only to bring the plane back to the gate smh
negative, no we haven because we ve been in the same line at the service desk for an hr and now in the same spot 
neutral, on your website and on your boards at logan it said it was on time so we went through security and got to the gate 
negative, got up at am for am flight from bos to charlotte which found was cancelled flightled once got to the gate 
positive, please give tara a pat on the back and praise she was very very helpful she is at phl member lounge
positive, thanks hope get to my destination
negative, well its am and just got an email that my am flight is delayed thats not right
negative, how soon is possible boarded the plane the st time at am and it is now after am and m still where started 
negative, your chairmans phone is down what other number can use 
negative, you make spirit look like the gem of air travel you haven handle this winter storm very well 
positive, thanks for the reply hoping everything is cleared up in charlotte by monday
negative, it takes month 
negative,yes filed report in atlanta my bags are in charlotte nc hours late flightr and still can find my luggage 
negative, it was supposed to be carry on and in pittsburgh coming to boston it was carry on
neutral, you need to contact me asap furious
negative, can even get on hold to wait to speak to someone awesome
negative, almost hours and coin now understand higher call volume but this is unacceptable 
negative, it been cancelled flighted your sm response is slow 
negative, ve had my flight cancelled flightled twice now and after minutes of automated questions the phone just goes to busy signal help 
negative, great job today in ruining people vacation thanks to your incompetent pilot and staff we have all now missed our flights
negative, your service has been awful in boston and had to pay extra dollars than was supposed too am very dissatisfied mad
negative, we are on the pm flight fll to phl and then connection to man however with the delays we might miss it can we go earlier 
negative, have been on hold with your gold reservations line for over hours now flight cancelled flightled trying to rebook 
negative, we have no choice but to pay another to go to the airport in the hopes that we will be treated better by rep 
negative, reservations had me on hold for hours only to hang up smh 
negative, how u supposed to change flights when can get thru to reservations onehouronhold
neutral, how us looking today 
negative, why would even consider continuing your point program when received no perks or continued bad customer service senseless
neutral, we ve already made other arrangements ourselves 
negative, thanks for getting back to me but will find other airlines in the future 
negative, why would pay to reactivate my points that are only useful for certain flights that aren even worth 
negative, stranded for hours in mia patrick casimir has been the only aa staff to apologize for the great inconvenience unreal
negative, no thanks as said being denied miles that expired one week ago was the last drop for me plan to avoid aa as possible 
negative, sorry so late flight responded to your dm 
positive, believe me understand flight was originally booked for sunday flight was cancelled flighted and rescheduled for today 
negative, aa employees were rude and unwilling to help miles is rotten cherry on top of dog shit sunday nocareforcustomers
negative, mold on my flight us filthyplane hopeidonotgetsick uoxgnw
neutral, seconds from touchdown at madrid airport in april avgeek ywxrfn gr
negative, slept in the miami airport due to mechanical issues and was given bonus miles to try and make it right slapintheface
neutral, is the new time confirmed or it may get cancelled flightled traveling with kids need to be certain thx
negative, hr min cost of flight change was hrs ago f drop call cancelled flighted flight asked refund 
negative, it not just frustrating it was paid for how do we get refund 
neutral, dm the locator code thanks 
positive, thank you 
negative, sure hope you all can fix good luck their service sucks nexttimeiwillflysouthwest
negative, thanks for no fresh food on my cross country flight and for making my connection so close no time to eat tpa dfw lax
neutral, my flight got cancelled flightled from grk to dfw then to lex for tomorrow and need it rebooked 
neutral, do you have any sort of live chat feature we re in the uk right now and that call would cost us alot 
negative, your planes made me miss connections in days thanks for nothing
negative, purchased main cabin xt for aus flight was cancelled flightled and was rescheduled on with regular seats credit 
neutral, just disappointed with the flight booking problems process and add fees to sit together on more crowded flight not impressed so far 
